Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","C_0603_1608Metric",72.835000,43.916599,90.000000,top
"C2","10u","C_0603_1608Metric",67.084600,43.891200,90.000000,top
"C3","22p","C_0402_1005Metric",25.002600,5.468800,-90.000000,top
"C4","10u","C_0603_1608Metric",26.326600,4.912000,-90.000000,top
"C5","10u","C_0603_1608Metric",28.253800,2.162000,0.000000,top
"C6","10u","C_0603_1608Metric",4.924200,3.029000,-90.000000,top
"C7","100n","C_0402_1005Metric",6.346600,3.587800,-90.000000,top
"C8","100n","C_0402_1005Metric",67.265100,47.705200,-90.000000,top
"C9","100n","C_0402_1005Metric",12.141551,0.873800,0.000000,top
"C10","100n","C_0402_1005Metric",14.498300,2.659800,90.000000,top
"C11","22u","C_0603_1608Metric",16.560800,2.209800,0.000000,top
"C12","10u","C_0603_1608Metric",16.560800,3.809800,0.000000,top
"C13","100n","C_0402_1005Metric",24.406000,41.650000,90.000000,top
"C14","10u","C_0603_1608Metric",25.803000,42.158000,90.000000,top
"C15","12p","C_0402_1005Metric",21.866000,8.884000,90.000000,top
"C16","12p","C_0402_1005Metric",21.866000,10.789000,90.000000,top
"C17","100n","C_0402_1005Metric",26.311000,25.902000,-90.000000,top
"C18","100u","CP_Elec_6.3x5.4",73.629600,23.870000,90.000000,top
"C19","1u","C_0603_1608Metric",70.888000,18.999200,180.000000,top
"C20","330u","CP_Elec_6.3x5.4",66.094000,23.997000,-90.000000,top
"C21","100n","C_0805_2012Metric",61.655600,46.470200,-90.000000,top
"C25","100n","C_0402_1005Metric",49.425000,14.181800,180.000000,top
"C27","10p","C_0402_1005Metric",51.330000,45.714000,90.000000,top
"C28","33p","C_0402_1005Metric",52.267654,45.714000,90.000000,top
"C29","100n","C_0402_1005Metric",53.207454,45.714000,90.000000,top
"C30","1u","C_0402_1005Metric",54.147254,45.714000,90.000000,top
"C31","100u","C_0805_2012Metric",57.680000,46.476000,90.000000,top
"C32","100u","C_0805_2012Metric",55.648000,46.476000,90.000000,top
"C33","1n","C_0402_1005Metric",34.340000,35.808000,180.000000,top
"C34","470p","C_0402_1005Metric",32.308000,35.808000,180.000000,top
"C35","TBD","C_0402_1005Metric",49.511000,45.068200,0.000000,top
"C36","TBD","C_0402_1005Metric",46.592600,47.026600,-90.000000,top
"C37","1n","C_0402_1005Metric",32.354600,25.398000,0.000000,top
"C38","100n","C_0402_1005Metric",34.303605,25.434200,0.000000,top
"D1","Orange","LED_0603_1608Metric",75.238000,43.154600,0.000000,top
"D2","B5819W","D_SOD-123",31.327200,7.171400,90.000000,top
"D3","ESDBW5V0A1","C_0402_1005Metric",7.464200,3.587800,90.000000,top
"D4","ESDA6V1W5","SOT-353_SC-70-5",58.124200,15.996000,90.000000,top
"D5","ESDBW5V0A1","C_0402_1005Metric",63.300000,48.514000,-90.000000,top
"D6","PESD0402","C_0402_1005Metric",43.519200,47.026600,90.000000,top
"D7","ESDBW5V0A1","C_0402_1005Metric",34.395100,41.467200,0.000000,top
"F1","2A","Fuse_1812_4532Metric",73.936000,30.728000,0.000000,top
"FB1","BLM21PG300SN1D","C_0805_2012Metric",59.674400,46.470200,90.000000,top
"J1","JST-2PH","JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal",71.453400,37.524400,90.000000,top
"J2","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",39.580200,3.437600,0.000000,top
"J4","Nano SIM","GCT_SIM8051-6-0-14-00-X-REVD",52.473000,6.739600,180.000000,top
"J5","RSP-122811-02","SAMTEC_RSP-122811-02",40.813000,47.238000,90.000000,top
"JP1","BOOT","SW_Push_1P1T_NO_CK_KMR2",27.581000,36.443000,-90.000000,top
"L1","2.2u","L_1008_2520Metric",28.058800,8.161200,0.000000,top
"Q1","DMG3415UQ-7","SOT-23",31.860600,2.878800,180.000000,top
"Q2","S8050","SOT-23",5.229000,47.365000,90.000000,top
"Q3","S8050","SOT-23",33.324000,32.455200,0.000000,top
"Q4","S8050","SOT-23",33.321800,28.827001,0.000000,top
"Q5","S8050","SOT-23",33.400300,38.068200,180.000000,top
"Q6","S8050","SOT-23",33.368400,23.090601,0.000000,top
"R1","5.1k","R_0402_1005Metric",36.747400,9.480600,180.000000,top
"R2","5.1k","R_0402_1005Metric",42.335400,9.480600,0.000000,top
"R3","453k","R_0402_1005Metric",23.935800,5.468800,90.000000,top
"R4","1k","R_0402_1005Metric",75.238000,44.856400,-90.000000,top
"R5","1k","R_0402_1005Metric",74.247400,44.856400,-90.000000,top
"R6","10k","R_0402_1005Metric",33.111800,8.587400,-90.000000,top
"R7","100k","R_0402_1005Metric",24.393000,3.925999,180.000000,top
