Designator,Mid X,Mid Y,Rotation,Layer
C1,179.9248,-84.690001,90.0,top
C10,121.5881,-125.9468,90.0,top
C11,123.6506,-126.3968,0.0,top
C12,123.6506,-124.7968,0.0,top
C13,131.4958,-86.9566,90.0,top
C14,132.8928,-86.4486,90.0,top
C15,128.9558,-119.7226,90.0,top
C16,128.9558,-117.8176,90.0,top
C17,133.4008,-102.7046,270.0,top
C18,180.7194,-104.7366,90.0,top
C19,177.9778,-109.6074,180.0,top
C2,174.1744,-84.7154,90.0,top
C20,173.1838,-104.6096,270.0,top
C21,168.7454,-82.1364,270.0,top
C25,156.5148,-114.4248,180.0,top
C27,158.4198,-82.8926,90.0,top
C28,159.357454,-82.8926,90.0,top
C29,160.297254,-82.8926,90.0,top
C3,132.0924,-123.1378,270.0,top
C30,161.237054,-82.8926,90.0,top
C31,164.7698,-82.1306,90.0,top
C32,162.7378,-82.1306,90.0,top
C33,142.4598,-92.0768,180.0,top
C34,140.4278,-92.0768,180.0,top
C35,156.6008,-83.5384,0.0,top
C36,153.6824,-81.58,270.0,top
C37,140.4744,-102.4868,0.0,top
C38,142.4707,-102.4868,180.0,top
C4,133.4164,-123.6946,270.0,top
C5,135.3436,-126.4446,0.0,top
C6,112.014,-125.5776,270.0,top
C7,113.4364,-125.0188,270.0,top
C8,174.3549,-80.9014,270.0,top
C9,119.231351,-127.7328,0.0,top
D1,182.3278,-85.452,0.0,top
D2,138.417,-121.4352,90.0,top
D3,114.554,-125.0188,90.0,top
D4,165.214,-110.818,90.0,top
D5,170.3898,-80.0926,270.0,top
D6,150.609,-81.58,90.0,top
D7,142.481,-84.432,0.0,top
F1,181.0258,-97.8786,0.0,top
FB1,166.7642,-82.1364,90.0,top
J1,178.5432,-91.0822,90.0,top
J2,146.67,-125.169,0.0,top
J4,159.5628,-121.867,180.0,top
J5,147.9028,-81.3686,90.0,top
JP1,134.6708,-92.1636,270.0,top
L1,135.1486,-120.4454,0.0,top
Q1,138.9504,-125.7278,180.0,top
Q2,112.3188,-81.2416,90.0,top
Q3,141.4438,-95.4296,180.0,top
Q4,141.4416,-99.057799,0.0,top
Q5,141.4862,-87.831,180.0,top
Q6,141.4882,-104.794199,0.0,top
R1,143.8372,-119.126,180.0,top
R10,116.9506,-125.4968,90.0,top
R11,114.6048,-80.2256,270.0,top
R12,114.6048,-82.2556,90.0,top
R13,115.6208,-82.2576,270.0,top
R14,134.5438,-102.7046,90.0,top
R16,163.2582,-110.04748,270.0,top
R17,162.2422,-110.04748,270.0,top
R18,170.6966,-111.1822,0.0,top
R19,170.696599,-113.1082,0.0,top
R2,149.4252,-119.126,0.0,top
R20,161.2262,-110.0306,270.0,top
R21,170.702599,-112.1474,0.0,top
R22,142.4598,-93.143599,0.0,top
R23,140.4278,-93.143599,0.0,top
R24,155.328376,-81.983976,135.0,top
R25,152.133,-81.1228,180.0,top
R26,142.4576,-101.3946,0.0,top
R27,140.4764,-101.3946,180.0,top
R28,140.4998,-84.432,0.0,top
R29,142.465264,-85.536161,0.0,top
R3,131.0256,-123.1378,90.0,top
R30,140.484064,-85.536161,180.0,top
R31,140.495301,-107.131,180.0,top
R32,142.476501,-107.130999,0.0,top
R4,182.3278,-83.7502,270.0,top
R5,181.3372,-83.7502,270.0,top
R6,140.2016,-120.0192,270.0,top
R7,131.4828,-124.680601,180.0,top
R8,126.977999,-123.4056,180.0,top
R9,126.978,-122.3896,180.0,top
SW1,134.6708,-98.7676,90.0,top
U1,177.0446,-84.4868,0.0,top
U2,142.7295,-116.6092,0.0,top
U3,135.5664,-123.8696,270.0,top
U4,176.5874,-80.9054,0.0,top
U5,119.288101,-125.6968,0.0,top
U6,117.8964,-115.9012,90.0,top
U7,121.4478,-91.1882,180.0,top
U8,177.2968,-120.9404,270.0,top
U9,156.115,-96.5218,0.0,top
Y1,127.1778,-118.8336,90.0,top
