Designator,Mid X,Mid Y,Rotation,Layer
C1,71.6082,18.1166,180,top
C10,66.1462,24.0896,0,top
C11,66.1462,22.3116,0,top
C12,72.6152,14.8186,90,top
C13,37.7947,40.9766,0,top
C14,23.570699,40.976598,180,top
C15,57.8578,44.9136,180,top
C16,63.8502,30.588,0,top
C17,65.933,30.588,0,top
C18,53.2716,36.0838,180,top
C19,53.2652,32.7066,180,top
C2,71.6082,16.9736,180,top
C20,52.0288,42.881601,180,top
C21,51.0002,22.0666,90,top
C22,52.2852,25.0916,-90,top
C24,48.231199,48.9776,180,top
C25,40.4446,5.663401,-90,top
C26,48.231199,42.8816,180,top
C27,38.7682,35.1556,90,top
C28,40.0382,35.1556,90,top
C29,41.3082,35.1556,90,top
C3,70.329201,14.820099,180,top
C30,42.5782,35.1556,90,top
C31,44.3562,35.9456,90,top
C32,46.6422,35.9456,90,top
C33,19.3542,17.7966,180,top
C34,21.6402,22.2566,0,top
C35,34.4907,35.9738,90,top
C36,31.58,35.968776,90,top
C37,21.6466,16.8066,180,top
C38,19.3626,12.3466,180,top
C39,41.6047,40.9766,0,top
C4,70.329201,8.527099,180,top
C40,37.7947,44.2786,0,top
C41,23.5707,42.6276,180,top
C42,37.7947,42.6276,0,top
C43,23.5707,44.2786,180,top
C44,37.7947,52.2796,180,top
C45,37.7947,45.924599,0,top
C46,52.5202,22.0666,90,top
C47,41.5876,5.663401,-90,top
C48,31.9781,52.3635,-90,top
C49,29.0825,52.3635,-90,top
C5,52.1304,48.977599,180,top
C50,15.5922,7.065,-90,top
C51,15.5922,9.898,-90,top
C52,16.0722,11.3204,180,top
C53,16.0748,15.7036,180,top
C55,50.7702,25.0916,-90,top
C56,55.9802,19.9716,-90,top
C6,76.4252,45.0406,0,top
C7,57.299,46.4376,180,top
C8,61.6137,20.8871,0,top
C9,63.6457,20.8871,180,top
D1,80.8447,14.4336,0,top
D10,76.4252,43.7706,180,top
D11,76.4252,47.5806,180,top
D12,73.8242,30.6196,90,top
D13,71.6672,30.6196,90,top
D2,36.9499,34.399,180,top
D3,34.4393,51.797,180,top
D4,48.0138,5.189,0,top
D5,52.4702,30.4266,180,top
D6,71.5992,25.7366,0,top
D7,21.6402,23.3816,0,top
D8,37.2867,39.5796,180,top
D9,76.9332,40.0876,90,top
E1,4.6842,49.9126,90,top
E2,4.6348,18.8566,90,top
F1,69.4212,18.1166,90,top
FB1,48.9282,35.9456,90,top
FB2,73.6312,17.9896,-90,top
FB3,6.771,7.1066,90,top
FB4,8.1172,7.1066,90,top
FB5,6.771,30.6068,90,top
FB6,8.1172,30.6068,90,top
J1,78.58,21.7996,90,top
J2,75.4102,8.7186,90,bottom
J4,56.9506,10.8278,0,top
J5,18.3862,48.0886,180,top
J6,79.4142,31.7056,90,top
J7,18.3862,36.487,180,top
L1,16.4026,52.8638,180,top
L2,18.6402,52.1017,-90,top
L3,16.0748,8.4756,0,top
L4,15.5922,12.7546,-90,top
L5,16.6082,14.459,0,top
L6,15.5922,17.126,-90,top
L7,55.0502,27.6866,-90,top
Q2,18.0072,41.1176,0,top
Q3,20.6177,20.0266,180,top
Q4,20.6227,14.5766,0,top
Q5,20.6226,25.7316,0,top
Q6,20.6227,10.1166,180,top
Q7,18.2432,44.2024,0,top
Q8,69.8872,5.7921,0,top
R1,71.6082,19.2596,180,top
R10,60.0617,23.7086,90,top
R11,57.8832,39.8336,0,top
R12,20.910199,41.1036,-90,top
R13,20.9262,44.4056,90,top
R14,76.4272,36.4226,180,top
R15,57.8578,43.6436,180,top
R16,43.8736,5.663402,-90,top
R17,45.0166,5.663401,-90,top
R18,76.4272,37.6746,180,top
R19,76.4252,42.5006,180,top
R2,71.6082,24.5936,180,top
R20,42.7306,5.663402,90,top
R21,63.8502,31.7056,180,top
R22,21.6402,17.7966,180,top
R23,19.3542,22.2566,0,top
R24,33.4533,52.8892,180,top
R25,33.0389,35.4912,180,top
R26,21.6466,12.3466,0,top
R27,19.3606,16.8066,180,top
R28,30.1556,35.5666,180,top
R29,19.3606,27.9616,0,top
R3,68.0432,14.8146,90,top
R30,21.6466,27.9616,0,top
R31,19.3626,7.8956,0,top
R32,21.6486,7.8956,0,top
R33,57.8832,42.3736,180,top
R34,21.122433,33.524076,-145,top
R35,30.5323,52.8892,180,top
R36,27.6327,52.8892,180,top
R37,23.3292,52.8622,180,top
R38,20.8876,52.8638,180,top
R39,21.2564,34.271,-55,top
R4,78.0507,14.4336,0,top
R40,23.8726,52.305,90,top
R41,73.8242,28.2066,0,top
R42,71.6672,28.2066,180,top
R43,57.5002,19.9666,90,top
R44,57.5002,22.9816,90,top
R5,35.9468,35.4912,180,top
R7,76.4252,46.3106,180,top
R8,57.8832,41.1036,0,top
R9,62.0742,31.1976,90,top
SW1,80.1602,45.2466,90,top
SW2,80.1602,39.0716,-90,top
U1,71.9802,21.9266,90,top
U10,48.2312,45.9296,-90,top
U11,43.1287,45.9296,0,top
U12,37.9217,49.2316,-90,top
U2,70.0752,11.6396,270,top
U3,52.0796,45.9296,180,top
U4,62.5822,23.1966,0,top
U5,75.0762,14.8186,-90,top
U6,67.1542,40.4686,0,top
U7,30.6827,45.0991,90,top
U8,55.0102,23.5541,90,top
U9,36.4822,20.2966,0,top
Y1,64.917,28.81,0,top
